Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2)
61.29541137,-9.795031128,-0.023800507,0.974323883
61.31542037,-9.769434357,-0.024099884,0.97821579
61.33543037,-9.79128891,-0.023800507,0.975970459
61.35543937,-9.786049805,-0.013621674,0.971629486
61.37544837,-9.786199493,-0.029338989,0.975671082
61.39545737,-9.784702606,-0.019758911,0.976569214
61.41546737,-9.789043579,-0.02574646,0.978365479
61.43547637,-9.775421906,-0.038320313,0.983305206
61.45548537,-9.773625641,-0.028590546,0.979113922
61.47549437,-9.800120544,-0.035775604,0.97462326
61.49550337,-9.781409454,-0.022602997,0.98165863
61.51551337,-9.792336731,-0.029338989,0.980610809
61.53552237,-9.775272217,-0.024698639,0.977317657
61.55553137,-9.795330505,-0.024848328,0.956361237
61.57554037,-9.7900914,-0.020507355,0.973126373
61.59555037,-9.80535965,-0.036524048,0.96534256
61.61555937,-9.765093384,-0.014519806,0.972527618
61.63556837,-9.788145447,-0.031135254,0.9794133
61.65557737,-9.776320038,-0.022004242,0.979712677
61.67558737,-9.788145447,-0.022902374,0.979113922
61.69559662,-9.781259766,-0.025596771,0.977766724
61.71560562,-9.781858521,-0.017214203,0.972976685
61.73561462,-9.780960388,-0.02694397,0.985700226
61.75562362,-9.779164124,-0.029937744,0.975521393
61.77563362,-9.792187042,-0.025147705,0.97701828
61.79564262,-9.787397003,-0.019309845,0.981359253
61.81565162,-9.804311829,-0.032332764,0.982706451
61.83566062,-9.783505096,-0.03397934,0.978964233
61.85567062,-9.798773346,-0.033230896,0.977317657
61.87567962,-9.792037354,-0.02110611,0.979562988
61.89568862,-9.798174591,-0.0199086,0.984353027
61.91569762,-9.786498871,-0.020357666,0.973276062
61.93570762,-9.79712677,-0.024099884,0.976419525
61.95571662,-9.767338715,-0.022153931,0.974024506
61.97572562,-9.797725525,-0.029039612,0.973874817
61.99573462,-9.773026886,-0.024249573,0.976120148
62.01574462,-9.774823151,-0.033081207,0.982407074
62.03575362,-9.778864746,-0.028440857,0.979113922
62.05576262,-9.77841568,-0.025447083,0.971030731
62.07577162,-9.791737976,-0.029638367,0.967587891
62.09578162,-9.789342957,-0.013471985,0.982556763
62.11579062,-9.799671478,-0.03278183,0.981958008
62.13579962,-9.771829376,-0.01526825,0.976569214
62.15580862,-9.798024902,-0.034877472,0.979862366
62.17581862,-9.777367859,-0.010029144,0.969683533
62.19582762,-9.799671478,-0.030087433,0.968186646
62.21583662,-9.785301361,-0.024399261,0.966989136
62.23584562,-9.787247314,-0.033380585,0.972228241
62.25585562,-9.77138031,-0.025596771,0.967887268
62.27586462,-9.787696381,-0.031135254,0.979562988
62.29587362,-9.774374084,-0.028590546,0.977617035
62.31588262,-9.796378326,-0.012723541,0.971330109
62.33589262,-9.781708832,-0.01167572,0.98165863
62.35590162,-9.779164124,-0.023052063,0.983754272
62.37591062,-9.778565369,-0.015717316,0.975371704
62.39591962,-9.765093384,-0.017363892,0.982107697
62.41592962,-9.7900914,-0.018262024,0.975072327
62.43593862,-9.776170349,-0.025147705,0.97701828
62.45594762,-9.80176712,-0.037122803,0.974174194
62.47595662,-9.776619415,-0.026794281,0.967138824
62.49596662,-9.802515564,-0.028291168,0.959804077
62.51597562,-9.781259766,-0.026644592,0.978066101
62.53598462,-9.813293152,-0.047151947,0.972826996
62.55599362,-9.789792023,-0.025596771,0.963246918
62.57600362,-9.797875214,-0.039667511,0.978814545
62.59601262,-9.773475952,-0.019609222,0.97582077
62.61602162,-9.768835602,-0.009131012,0.976120148
62.63603162,-9.768087158,-0.031284943,0.982107697
62.65604062,-9.774673462,-0.026794281,0.967288513
62.67604962,-9.795180817,-0.023052063,0.987945557
62.696062,-9.788744202,-0.015417938,0.98405365
62.716072,-9.789792023,-0.026045837,0.981059875
62.736081,-9.788295135,-0.028740234,0.979562988
62.75609,-9.809251556,-0.023650818,0.979862366
62.776099,-9.784852295,-0.030985565,0.981209564
62.796109,-9.804461517,-0.040865021,0.963396606
62.816118,-9.774972839,-0.045505371,0.963097229
62.836127,-9.789941711,-0.043409729,0.963396606
62.856136,-9.780960388,-0.035326538,0.9794133
62.876146,-9.779014435,-0.03278183,0.978365479
62.896155,-9.7701828,-0.029189301,0.973874817
62.916164,-9.780810699,-0.021555176,0.974323883
62.936174,-9.771679688,-0.019758911,0.980910187
62.956183,-9.785151672,-0.024998016,0.970132599
62.976192,-9.79128891,-0.022602997,0.975970459
62.996201,-9.787995758,-0.018561401,0.983903961
63.016211,-9.796827393,-0.020058289,0.982706451
63.03622,-9.773475952,-0.01751358,0.984951782
63.056229,-9.796528015,-0.026794281,0.962348785
63.076239,-9.778565369,-0.02335144,0.973276062
63.096248,-9.802066498,-0.036074982,0.975671082
63.116257,-9.781559143,-0.02110611,0.975671082
63.136266,-9.794881439,-0.044607239,0.981209564
63.156276,-9.771679688,-0.033081207,0.973276062
63.176285,-9.792037354,-0.041164398,0.976419525
